Filename,Trigger,On Time,Off Time,Arrival,On Index,Off Index,Duration,CFT On,CFT Off,CFT Max,CFT Min,CFT Mean,CFT Median,CFT Std,CFT Skewness,CFT Kurtosis,CFT Q1,CFT Q3,CFT IQR,CFT Range,CFT Coeff of Variation,CFT Peak to Mean Ratio,CFT Area Under Curve,CFT Max Index,CFT Max Time,CFT Slope,archivo_origen,conteo_anomalias,Arrival_On_Diff
xa.s12.00.mhz.1970-01-19HR00_evid00002,17.0,73523.77358490566,75145.2075471698,73499.335,487095.0,497837.0,1621.4339622641419,4.01446926406736,0.5007937301868756,6.128921934826852,0.5007059921777328,2.3840420277395737,1.4195716639359317,1.9374759055136368,0.7802584897541741,-0.9436390212347119,0.7897907676645892,4.1335439427957255,3.3437531751311362,5.62821594264912,0.8126852978974753,2.570811195236345,3865.5857920768353,488038.0,73666.11320754717,-0.003816021542663733,xa.s12.00.mhz.1970-01-19HR00_evid00002,2917,24.43858490565617
xa.s12.00.mhz.1970-04-25HR00_evid00006,1.0,4770.566037735849,6332.528301886792,4439.804,31605.0,41953.0,1561.9622641509432,4.004367241348348,0.5025899054222166,5.406611682109922,0.5025899054222166,2.149012206219339,1.5812010980338842,1.5579652167013303,0.8348598953420351,-0.6374839915001269,0.8907250556612049,2.922765464611399,2.0320404089501944,4.9040217766877054,0.7249680630908043,2.5158589916162146,3356.6602028061207,32542.0,4912.0,-0.003227633681461938,xa.s12.00.mhz.1970-04-25HR00_evid00006,2683,330.76203773584893
xa.s12.00.mhz.1970-04-26HR00_evid00007,1.0,52368.6037735849,53477.735849056604,52139.34,346942.0,354290.0,1109.1320754717017,4.001678535297297,0.5014014234690328,5.365545530139373,0.5014014234690328,2.2447596932585285,1.5510179137813878,1.5843517431166223,0.7922798427289566,-0.8848450358865438,1.0052736313997324,3.5881840799015623,2.58291044850183,4.864144106670341,0.7058001566380374,2.3902538638114366,2489.733954079642,347732.0,52487.84905660377,-0.004594427387497466,xa.s12.00.mhz.1970-04-26HR00_evid00007,2407,229.26377358490572
xa.s12.00.mhz.1970-06-15HR00_evid00008,11.0,68494.18867924529,69804.07547169812,68399.49,453774.0,462452.0,1309.8867924528313,4.009132000859033,0.5004106220598468,6.248327862850558,0.5004106220598468,2.855638775043013,2.981179079440891,1.9340286797093102,0.30742233411041237,-1.361522746484636,0.8653016353728499,4.691361635118705,3.826059999745855,5.747917240790711,0.6772665704821784,2.1880666131368254,3740.6542124206467,454787.0,68647.09433962264,-0.004913358207326685,xa.s12.00.mhz.1970-06-15HR00_evid00008,1523,94.6986792452808
xa.s12.00.mhz.1970-06-26HR00_evid00009,1.0,72191.24528301887,73639.84905660378,72059.884,478267.0,487864.0,1448.6037735849095,4.019765169665496,0.5007897814156561,6.316388521168804,0.5007897814156561,3.0515650375552585,2.760928633717021,2.0612396304399683,0.34007162140855696,-1.4504744249076473,0.9871720905873081,5.655176668678054,4.668004578090746,5.815598739753148,0.6754696705043249,2.0698849421309196,4420.628068374308,479106.0,72317.88679245283,-0.004673917510072867,xa.s12.00.mhz.1970-06-26HR00_evid00009,2231,131.36128301886492
xa.s12.00.mhz.1970-07-20HR00_evid00010,2.0,18488.905660377357,20054.943396226416,18359.513,122489.0,132864.0,1566.0377358490587,4.0010428122205814,0.5005540703102888,6.167782381515607,0.5005540703102888,2.5548381874345703,1.5450066446207917,1.9925298466018218,0.6002108403445774,-1.2089454218209321,0.7670943276707787,4.328484642966142,3.5613903152953634,5.667228311205319,0.7799045185725096,2.4141577387759963,4001.0189033026227,123587.0,18654.64150943396,-0.00412247725394308,xa.s12.00.mhz.1970-07-20HR00_evid00010,2407,129.39266037735797
xa.s12.00.mhz.1970-07-20HR00_evid00011,2.0,18488.905660377357,20054.943396226416,42239.513,122489.0,132864.0,1566.0377358490587,4.0010428122205814,0.5005540703102888,6.167782381515607,0.5005540703102888,2.5548381874345703,1.5450066446207917,1.9925298466018218,0.6002108403445774,-1.2089454218209321,0.7670943276707787,4.328484642966142,3.5613903152953634,5.667228311205319,0.7799045185725096,2.4141577387759963,4001.0189033026227,123587.0,18654.64150943396,-0.00412247725394308,xa.s12.00.mhz.1970-07-20HR00_evid00011,2447,23750.607339622642
xa.s12.00.mhz.1970-09-26HR00_evid00013,3.0,72059.01886792453,73457.2075471698,71819.851,477391.0,486654.0,1398.1886792452715,4.000191560893341,0.5001629541808488,4.956200394149538,0.5001629541808488,2.164667431279337,1.5522409425220007,1.4423471225143214,0.555267210521647,-1.2003109960810685,0.8051791684444888,3.6789749549496644,2.8737957865051755,4.456037439968689,0.6663134954000218,2.28958976447499,3026.6005896021265,477979.0,72147.77358490566,-0.0034142088772997964,xa.s12.00.mhz.1970-09-26HR00_evid00013,2374,239.16786792453786
xa.s12.00.mhz.1970-10-24HR00_evid00014,5.0,62215.54716981132,62631.84905660377,41459.496,412178.0,414936.0,416.30188679245475,4.024984750591593,0.5024013331465809,6.64301404852833,0.5024013331465809,4.589856353884744,6.0506664505027095,2.2201556273407688,-0.5264856447101743,-1.3620598807788538,2.5304113551482823,6.624504416518047,4.094093061369764,6.140612715381749,0.4837091743539387,1.4473250438231782,1911.1169792190512,413276.0,62381.28301886792,-0.01629509863747215,xa.s12.00.mhz.1970-10-24HR00_evid00014,916,20756.05116981132
xa.s12.00.mhz.1970-12-11HR00_evid00017,3.0,26644.830188679247,28428.22641509434,26519.674,176522.0,188337.0,1783.3962264150941,4.025033534887004,0.5005241698946439,6.657781125351018,0.5005241698946439,2.85040102161574,2.2201257810533948,2.0759852355180324,0.564035501277921,-1.1067849394465283,1.0416128119767312,4.340488261648134,3.298875449671403,6.157256955456375,0.728313391615776,2.3357348930422,5083.483123405155,177599.0,26807.396226415094,-0.003856941178876007,xa.s12.00.mhz.1970-12-11HR00_evid00017,2776,125.15618867924786
